"year","age","Estimate","Low","High"
"1992","2",164207.525634996,75325.1182026962,357969.720042241
"1992","3",86937.2555515402,47300.6717256033,159788.14099468
"1992","4",212890.050787703,122483.533365452,370026.667904524
"1992","5",93162.0980775197,53100.745176263,163447.358213066
"1992","6",12432.8733213459,6532.0273495198,23664.3741297254
"1992","7",7330.15849131944,3271.57247786893,16423.6690066736
"1992","8",7357.68573441504,2951.63352852589,18340.8742458116
"1992","9",4958.33856523309,1707.49774846516,14398.3330868675
"1992","10",86460.2349090573,49703.2773469799,150399.986068194
"1993","1",44272.6592239024,16692.6863914484,117420.785893391
"1993","2",151099.57562293,68134.3908257565,335088.954002931
"1993","3",103491.409664333,56558.5635408449,189369.587977177
"1993","4",49986.4082532338,28068.4195139483,89019.6545914275
"1993","5",151164.137162436,91108.1506000023,250807.377974187
"1993","6",61754.9850312635,35373.5648890343,107811.530677639
"1993","7",8198.15999764211,3683.84342441913,18244.4853387158
"1993","8",4429.52119087033,1767.51490946552,11100.7029560517
"1993","9",4232.50357852878,1476.6886410768,12131.2550553623
"1993","10",43020.0389971969,23533.0816385823,78643.4936037487
"1994","1",163767.531592257,61107.059379466,438898.626053559
"1994","2",27030.8296719034,11623.0217890552,62863.6654057971
"1994","3",116408.513910202,62419.0030868228,217096.420010632
"1994","4",82946.1254587784,46475.0589817451,148037.676107648
"1994","5",25208.6420292625,13867.5105509734,45824.7809239918
"1994","6",93188.4609828541,55114.8964508011,157563.377953633
"1994","7",31167.6086274212,16125.4140519202,60241.5432201835
"1994","8",4671.59222800703,1865.79253798519,11696.7848785281
"1994","9",2496.94016919883,861.88840973149,7233.77891866651
"1994","10",16859.4296043148,8053.13652896461,35295.6100471566
"1995","1",184119.466639879,65834.4116318761,514927.940501855
"1995","2",113791.673047016,47429.2817463404,273007.399186222
"1995","3",14864.8642096116,7173.62303632243,30802.3138170734
"1995","4",72691.3170920434,37802.7912069197,139778.767965916
"1995","5",51002.7370869428,27161.5966828581,95770.4814165618
"1995","6",13322.4736114247,6571.27542561231,27009.7190623492
"1995","7",46916.7064058586,24464.7315517353,89973.4924668489
"1995","8",15631.6958563736,6836.44708588273,35742.2374921543
